법정동코드,category_group_code,count
1111010100,CS2,2
1111010100,MT1,0
1111010100,PK6,1
1111010100,BK9,0
1111010100,FD6,12
1111010100,CE7,4
1111010100,HP8,0
1111010100,PM9,0
1111010200,CS2,1
1111010200,MT1,0
1111010200,PK6,1
1111010200,BK9,1
1111010200,FD6,0
1111010200,CE7,1
1111010200,HP8,1
1111010200,PM9,0
1111010300,CS2,0
1111010300,MT1,0
1111010300,PK6,1
1111010300,BK9,0
1111010300,FD6,0
1111010300,CE7,0
1111010300,HP8,0
1111010300,PM9,0
1111010400,CS2,1
1111010400,MT1,0
1111010400,PK6,2
1111010400,BK9,0
1111010400,FD6,4
1111010400,CE7,3
1111010400,HP8,0
1111010400,PM9,0
1111010500,CS2,2
1111010500,MT1,0
1111010500,PK6,0
1111010500,BK9,0
1111010500,FD6,2
1111010500,CE7,6
1111010500,HP8,3
1111010500,PM9,1
1111010600,CS2,1
1111010600,MT1,0
1111010600,PK6,3
1111010600,BK9,0
1111010600,FD6,7
1111010600,CE7,9
1111010600,HP8,1
1111010600,PM9,0
1111010700,CS2,2
1111010700,MT1,0
1111010700,PK6,5
1111010700,BK9,4
1111010700,FD6,1
1111010700,CE7,4
1111010700,HP8,7
1111010700,PM9,2
1111010800,CS2,1
1111010800,MT1,0
1111010800,PK6,1
1111010800,BK9,5
1111010800,FD6,10
1111010800,CE7,9
1111010800,HP8,1
1111010800,PM9,0
1111010900,CS2,3
1111010900,MT1,0
1111010900,PK6,1
1111010900,BK9,0
1111010900,FD6,4
1111010900,CE7,5
1111010900,HP8,0
1111010900,PM9,0
1111011000,CS2,2
1111011000,MT1,0
1111011000,PK6,1
1111011000,BK9,0
1111011000,FD6,6
1111011000,CE7,8
1111011000,HP8,2
1111011000,PM9,0
1111011100,CS2,1
1111011100,MT1,0
1111011100,PK6,4
1111011100,BK9,0
1111011100,FD6,7
1111011100,CE7,5
1111011100,HP8,0
1111011100,PM9,2
1111011200,CS2,1
1111011200,MT1,0
1111011200,PK6,1
1111011200,BK9,0
1111011200,FD6,8
1111011200,CE7,3
1111011200,HP8,2
1111011200,PM9,0
1111011300,CS2,3
1111011300,MT1,0
1111011300,PK6,1
1111011300,BK9,1
1111011300,FD6,4
1111011300,CE7,5
1111011300,HP8,0
1111011300,PM9,0
1111011400,CS2,1
1111011400,MT1,0
1111011400,PK6,3
1111011400,BK9,5
1111011400,FD6,4
1111011400,CE7,3
1111011400,HP8,6
1111011400,PM9,3
1111011500,CS2,2
1111011500,MT1,1
1111011500,PK6,4
1111011500,BK9,4
1111011500,FD6,0
1111011500,CE7,4
1111011500,HP8,0
1111011500,PM9,1
1111011600,CS2,2
1111011600,MT1,0
1111011600,PK6,1
1111011600,BK9,2
1111011600,FD6,1
1111011600,CE7,1
1111011600,HP8,1
1111011600,PM9,0
1111011700,CS2,3
1111011700,MT1,0
1111011700,PK6,1
1111011700,BK9,4
1111011700,FD6,10
1111011700,CE7,4
1111011700,HP8,6
1111011700,PM9,2
1111011800,CS2,3
1111011800,MT1,0
1111011800,PK6,3
1111011800,BK9,3
1111011800,FD6,8
1111011800,CE7,3
1111011800,HP8,1
1111011800,PM9,0
1111011900,CS2,0
1111011900,MT1,0
1111011900,PK6,5
1111011900,BK9,3
1111011900,FD6,0
1111011900,CE7,0
1111011900,HP8,2
1111011900,PM9,0
1111012000,CS2,6
1111012000,MT1,1
1111012000,PK6,5
1111012000,BK9,2
1111012000,FD6,1
1111012000,CE7,7
1111012000,HP8,8
1111012000,PM9,5
1111012100,CS2,2
1111012100,MT1,0
1111012100,PK6,5
1111012100,BK9,7
1111012100,FD6,5
1111012100,CE7,5
1111012100,HP8,1
1111012100,PM9,0
1111012200,CS2,4
1111012200,MT1,0
1111012200,PK6,5
1111012200,BK9,4
1111012200,FD6,8
1111012200,CE7,4
1111012200,HP8,18
1111012200,PM9,11
1111012300,CS2,4
1111012300,MT1,0
1111012300,PK6,2
1111012300,BK9,4
1111012300,FD6,0
1111012300,CE7,4
1111012300,HP8,1
1111012300,PM9,1
1111012400,CS2,6
1111012400,MT1,0
1111012400,PK6,3
1111012400,BK9,1
1111012400,FD6,3
1111012400,CE7,0
1111012400,HP8,4
1111012400,PM9,2
1111012500,CS2,1
1111012500,MT1,0
1111012500,PK6,3
1111012500,BK9,2
1111012500,FD6,2
1111012500,CE7,4
1111012500,HP8,0
1111012500,PM9,0
1111012600,CS2,0
1111012600,MT1,0
1111012600,PK6,0
1111012600,BK9,0
1111012600,FD6,0
1111012600,CE7,1
1111012600,HP8,0
1111012600,PM9,0
1111012700,CS2,3
1111012700,MT1,0
1111012700,PK6,2
1111012700,BK9,3
1111012700,FD6,3
1111012700,CE7,4
1111012700,HP8,0
1111012700,PM9,0
1111012800,CS2,5
1111012800,MT1,0
1111012800,PK6,3
1111012800,BK9,0
1111012800,FD6,8
1111012800,CE7,7
1111012800,HP8,0
1111012800,PM9,0
1111012900,CS2,1
1111012900,MT1,0
1111012900,PK6,2
1111012900,BK9,2
1111012900,FD6,1
1111012900,CE7,0
1111012900,HP8,0
1111012900,PM9,1
1111013000,CS2,1
1111013000,MT1,0
1111013000,PK6,6
1111013000,BK9,1
1111013000,FD6,0
1111013000,CE7,0
1111013000,HP8,0
1111013000,PM9,0
1111013100,CS2,0
1111013100,MT1,0
1111013100,PK6,0
1111013100,BK9,0
1111013100,FD6,3
1111013100,CE7,2
1111013100,HP8,0
1111013100,PM9,0
1111013200,CS2,1
1111013200,MT1,0
1111013200,PK6,6
1111013200,BK9,0
1111013200,FD6,0
1111013200,CE7,1
1111013200,HP8,0
1111013200,PM9,0
1111013300,CS2,4
1111013300,MT1,0
